"id","lng","lat","name","road","road_id","url"
"0","-75.348917","39.8758","I-476 McDade on Ramp","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam122.jpg"
"1","-75.35165","39.8768","I-476 SB @ Mcdade Blvd/Exit 1","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam123.jpg"
"2","-75.547117","39.8812","US 202 SB @ US1","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam070.jpg"
"3","-75.352242","39.8832","I-476 NB N of Bullend Ln","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam196.jpg"
"4","-75.55535","39.8914","US 202 SB@Watkins","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam069.jpg"
"5","-75.224194","39.8922","WB Platt Bridge","Non-Highway","nonhighway","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam165.jpg"
"6","-75.211653","39.8978","WB Platt Bridge Midspan","Non-Highway","nonhighway","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam164.jpg"
"7","-75.364159","39.9029","I-476 SB@SEPTA Overpass","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam198.jpg"
"8","-75.194","39.9058","26th Street & Penrose Ave","Non-Highway","nonhighway","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam163.jpg"
"9","-75.362051","39.9081","I-476 NB S of Plush Mill Rd","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam199.jpg"
"10","-75.571033","39.9112","US 202 SB S of Green Tr Dr","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam068.jpg"
"11","-75.362417","39.9126","I-476 NB N of Beatty Rd","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam200.jpg"
"12","-75.362483","39.9126","I-476 SB @Balt Pike","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam124.jpg"
"13","-75.191853","39.9152","PA 291 WB E of I-76","Pennsylvania 291","pa291","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam162.jpg"
"14","-75.57695","39.9196","US 202 SB @ PA 926","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam067.jpg"
"15","-75.190575","39.9216","26th Street to 76 WB","Non-Highway","nonhighway","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam160.jpg"
"16","-75.190325","39.9216","I-76 EB to 26th Street","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam161.jpg"
"17","-75.191639","39.9231","I-76 EB Ramp to Passyunk Ave","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam159.jpg"
"18","-75.197211","39.9291","I-76 EB @ Vare Ave","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam158.jpg"
"19","-75.58555","39.9304","US 202 NB N of Skiles Blvd","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam066.jpg"
"20","-75.199906","39.9351","I-76 EB East of Grays Ferry","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam157.jpg"
"21","-75.364636","39.9361","I-476 SB @ US1","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam125.jpg"
"22","-75.59045","39.9406","US 202 NB@PA 322","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam065.jpg"
